online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Yes,No,3.9,172,Banashankari,Delivery,others,750,Delivery
Yes,No,4.2,415,Banashankari,Quick Bites,others,500,Delivery
Yes,No,3.9,230,Banashankari,Delivery,Biryani,650,Delivery
Yes,No,2.8,91,Banashankari,Quick Bites,others,400,Delivery
Yes,No,4.2,1647,Banashankari,Casual Dining,others,600,Delivery
Yes,No,4.4,4884,Jayanagar,Casual Dining,others,750,Delivery
Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery
Yes,No,3.8,133,Basavanagudi,Quick Bites,others,200,Delivery
No,No,3.9,28,Banashankari,others,South Indian,300,Delivery
Yes,No,3.9,286,Banashankari,Quick Bites,others,500,Delivery
Yes,No,3.9,540,Banashankari,Quick Bites,others,800,Delivery
Yes,Yes,4.6,2556,Banashankari,others,others,600,Delivery
No,No,3.8,36,Banashankari,Delivery,others,400,Delivery
Yes,No,3.6,244,others,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,4.0,804,others,Casual Dining,others,450,Delivery
Yes,No,3.7,679,others,Casual Dining,others,850,Delivery
Yes,No,3.1,245,others,Quick Bites,others,300,Delivery
No,No,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery
Yes,No,4.1,28,others,Quick Bites,others,150,Delivery
No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery
Yes,No,4.0,618,Jayanagar,Casual Dining,others,750,Delivery
No,No,4.0,1047,Banashankari,Quick Bites,others,450,Delivery
Yes,No,3.9,627,Banashankari,Delivery,others,450,Delivery
Yes,No,3.8,104,Banashankari,Quick Bites,others,300,Delivery
Yes,Yes,4.2,354,Banashankari,Casual Dining,others,800,Delivery
No,No,3.6,55,Banashankari,Quick Bites,others,200,Delivery
Yes,No,3.7,17,Banashankari,Dessert Parlor,others,400,Delivery
No,No,4.2,244,Banashankari,Casual Dining,others,800,Delivery
Yes,Yes,3.6,163,others,Casual Dining,others,800,Delivery
Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery
No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery
No,No,3.7,78,Banashankari,others,Bakery,150,Delivery
Yes,No,4.1,1720,Basavanagudi,Quick Bites,others,400,Delivery
Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery
No,No,4.1,868,Banashankari,others,others,"1,200",Delivery
No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Yes,No,3.2,71,Basavanagudi,Quick Bites,others,600,Delivery
Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",others,500,Delivery
No,No,4.1,520,Banashankari,Quick Bites,others,300,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,North Indian,150,Delivery
No,No,2.9,84,Banashankari,Delivery,others,700,Delivery
No,No,3.6,299,Banashankari,Quick Bites,others,300,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",others,500,Delivery
Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery
Yes,No,3.6,28,Banashankari,Quick Bites,others,300,Delivery
No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery
No,No,3.8,39,Banashankari,Quick Bites,others,350,Delivery
Yes,No,3.8,153,others,others,others,500,Delivery
Yes,No,4.2,146,Banashankari,others,others,400,Delivery
No,No,3.5,14,Banashankari,others,"Mithai, Street Food",200,Delivery
No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,100,Delivery
No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Yes,No,4.4,4401,Jayanagar,Casual Dining,others,600,Delivery
No,No,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery
No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery
No,No,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery
No,No,3.700448817952718,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery
No,No,3.700448817952718,0,Banashankari,others,South Indian,200,Delivery
No,No,3.2,9,Banashankari,Dessert Parlor,others,300,Delivery
No,No,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery
No,No,3.3,62,Banashankari,others,"South Indian, North Indian, Chinese",800,Delivery
No,No,3.8,64,Banashankari,Quick Bites,others,250,Delivery
No,No,3.7,39,Banashankari,Casual Dining,others,950,Delivery
No,No,3.7,65,Banashankari,Quick Bites,others,300,Delivery
Yes,No,3.8,71,Basavanagudi,Dessert Parlor,others,400,Delivery
No,No,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery
No,No,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery
No,No,3.5,10,Banashankari,Quick Bites,others,300,Delivery
No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery
No,No,3.2,11,Banashankari,Cafe,others,600,Delivery
No,No,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
No,No,3.4,8,Banashankari,Quick Bites,others,300,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery
No,No,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery
No,No,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",others,200,Delivery
No,No,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery
No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery
No,No,3.700448817952718,0,Banashankari,Dessert Parlor,others,150,Delivery
No,No,3.700448817952718,0,Banashankari,Bakery,Bakery,300,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,200,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery
No,No,3.700448817952718,0,Banashankari,Dessert Parlor,others,150,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,250,Delivery
No,No,3.1,30,Banashankari,others,"Chinese, North Indian","1,000",Delivery
Yes,No,4.1,201,Banashankari,Quick Bites,others,300,Delivery
No,No,3.3,7,Banashankari,Quick Bites,others,200,Delivery
No,No,3.1,6,Banashankari,Quick Bites,others,100,Delivery
No,No,3.3,17,Banashankari,Quick Bites,others,200,Delivery
No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery
No,No,3.700448817952718,0,Banashankari,Delivery,others,400,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,350,Delivery
No,No,3.3,8,Banashankari,Delivery,South Indian,100,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,150,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,South Indian,150,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",others,200,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,North Indian,100,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,400,Delivery
No,No,3.700448817952718,0,Banashankari,others,others,200,Delivery
No,No,3.700448817952718,0,Banashankari,others,others,150,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,150,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,250,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,Biryani,250,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,150,Delivery
No,No,3.700448817952718,0,Banashankari,others,Desserts,200,Delivery
No,No,3.700448817952718,0,Banashankari,others,others,350,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,300,Delivery
No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery",others,100,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,others,150,Delivery
Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery
No,No,3.0,98,Banashankari,others,"North Indian, Chinese",800,Delivery
Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery
Yes,Yes,4.1,175,Jayanagar,Casual Dining,others,500,Delivery
Yes,No,3.8,58,Banashankari,Quick Bites,others,300,Delivery
Yes,No,3.8,540,Basavanagudi,Casual Dining,others,650,Delivery
Yes,No,3.8,124,others,Quick Bites,others,400,Delivery
Yes,No,4.1,340,Banashankari,"Takeaway, Delivery",others,500,Delivery
Yes,No,3.8,505,Banashankari,Quick Bites,others,450,Delivery
No,No,3.700448817952718,0,Banashankari,Quick Bites,Fast Food,100,Delivery
Yes,No,4.1,438,Jayanagar,Dessert Parlor,others,500,Delivery
Yes,No,3.7,264,others,Casual Dining,others,750,Delivery
Yes,No,3.9,169,others,others,others,150,Delivery
Yes,No,3.0,67,others,Quick Bites,"North Indian, Chinese",250,Delivery
Yes,No,3.7,97,Jayanagar,Quick Bites,others,350,Delivery
Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery
Yes,No,3.3,12,Banashankari,Quick Bites,Biryani,300,Delivery
Yes,No,3.6,195,Jayanagar,Casual Dining,others,800,Delivery
Yes,No,3.3,13,Basavanagudi,others,others,300,Delivery
Yes,No,4.6,228,Jayanagar,Cafe,others,400,Delivery
Yes,No,4.1,70,Basavanagudi,Quick Bites,others,150,Delivery
Yes,Yes,4.1,364,Jayanagar,Casual Dining,others,"1,200",Delivery
Yes,No,3.7,107,Basavanagudi,others,others,150,Delivery
Yes,No,3.2,167,others,Quick Bites,others,300,Delivery
Yes,No,4.0,115,Banashankari,others,"Mithai, Street Food",400,Delivery
Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",others,400,Delivery
Yes,No,3.5,57,Banashankari,Quick Bites,Biryani,200,Delivery
Yes,No,3.8,120,Banashankari,Quick Bites,others,250,Delivery
Yes,No,3.8,15,Basavanagudi,Bakery,Bakery,400,Delivery
Yes,No,4.2,64,Basavanagudi,Quick Bites,others,500,Delivery
Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery
Yes,No,3.0,290,Banashankari,Quick Bites,others,450,Delivery
Yes,No,4.1,233,Basavanagudi,Quick Bites,others,200,Delivery
Yes,No,3.8,115,others,Quick Bites,others,250,Delivery
Yes,No,3.1,119,Banashankari,Casual Dining,others,700,Delivery
Yes,Yes,3.9,291,Jayanagar,Cafe,others,650,Delivery
Yes,No,4.5,155,Jayanagar,others,others,300,Delivery
Yes,No,4.1,305,others,Casual Dining,others,700,Delivery
Yes,No,3.6,46,Banashankari,Quick Bites,others,500,Delivery
Yes,No,3.5,45,others,Quick Bites,others,350,Delivery
Yes,No,3.9,38,Banashankari,Dessert Parlor,others,150,Delivery
Yes,No,3.9,441,Banashankari,Quick Bites,others,400,Delivery
Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,4.3,630,Jayanagar,Quick Bites,others,200,Delivery
Yes,No,3.8,25,others,Quick Bites,South Indian,150,Delivery
Yes,No,3.9,160,others,Quick Bites,others,300,Delivery
Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery
Yes,No,3.6,11,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,4.1,402,Banashankari,Cafe,Cafe,500,Delivery
Yes,No,3.8,469,Basavanagudi,Casual Dining,others,750,Delivery
Yes,No,3.3,511,others,Casual Dining,others,550,Delivery
Yes,No,3.9,57,Banashankari,Quick Bites,others,200,Delivery
Yes,No,3.4,14,Banashankari,Quick Bites,South Indian,300,Delivery
Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery
Yes,No,3.0,62,Banashankari,Cafe,others,400,Delivery
Yes,No,3.8,693,Banashankari,Casual Dining,others,750,Delivery
Yes,No,3.8,242,Jayanagar,Casual Dining,others,650,Delivery
Yes,No,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery
Yes,No,4.1,163,Basavanagudi,Quick Bites,others,500,Delivery
Yes,No,4.2,191,Basavanagudi,Quick Bites,others,250,Delivery
Yes,No,3.5,32,Banashankari,Quick Bites,others,150,Delivery
Yes,No,2.5,247,Banashankari,Casual Dining,North Indian,500,Delivery
Yes,Yes,4.1,2339,Jayanagar,Casual Dining,others,"1,500",Delivery
Yes,No,4.1,337,Jayanagar,Quick Bites,others,300,Delivery
Yes,No,3.9,135,Banashankari,Casual Dining,others,800,Delivery
Yes,No,3.6,172,others,Casual Dining,"North Indian, Chinese",700,Delivery
Yes,No,3.6,105,Banashankari,Casual Dining,others,700,Delivery
Yes,No,4.2,504,Banashankari,Cafe,others,550,Delivery
Yes,No,3.2,36,others,Quick Bites,others,200,Delivery
Yes,No,3.1,39,others,Quick Bites,North Indian,300,Delivery
Yes,No,3.1,5,others,Casual Dining,others,500,Delivery
Yes,No,3.700448817952718,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,Yes,4.3,1129,Jayanagar,Casual Dining,others,"1,300",Delivery
Yes,No,3.9,56,others,Quick Bites,"North Indian, Chinese",350,Delivery
Yes,No,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery
Yes,No,3.8,412,Jayanagar,Casual Dining,others,700,Delivery
Yes,Yes,3.9,142,Jayanagar,Casual Dining,others,"1,000",Delivery
Yes,No,3.0,23,Jayanagar,Quick Bites,others,400,Delivery
Yes,No,3.6,143,Jayanagar,Casual Dining,others,750,Delivery
Yes,Yes,2.8,80,Jayanagar,Casual Dining,others,500,Delivery
Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400,Delivery
Yes,No,4.4,181,Jayanagar,others,others,250,Delivery
Yes,No,3.8,70,Jayanagar,Quick Bites,others,200,Delivery
Yes,No,3.8,164,Basavanagudi,Quick Bites,others,600,Delivery
Yes,No,3.6,58,others,Quick Bites,others,650,Delivery
No,No,3.8,148,Basavanagudi,others,others,550,Delivery
No,No,3.9,206,Basavanagudi,Quick Bites,others,450,Delivery
No,No,3.700448817952718,0,Basavanagudi,Bakery,"Bakery, Desserts",300,Delivery
No,No,3.700448817952718,0,JP Nagar,Dessert Parlor,others,200,Delivery
No,No,3.6,16,others,Quick Bites,South Indian,300,Delivery
No,No,3.7,217,Basavanagudi,Casual Dining,others,450,Delivery
No,No,3.6,46,Basavanagudi,Quick Bites,others,450,Delivery
No,No,3.8,148,Basavanagudi,Quick Bites,others,150,Delivery
No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery
No,No,3.6,8,others,Casual Dining,others,800,Delivery
No,No,3.3,4,Jayanagar,Quick Bites,South Indian,250,Delivery
No,No,3.5,15,Basavanagudi,others,Bakery,400,Delivery
No,No,3.700448817952718,0,Basavanagudi,Quick Bites,South Indian,100,Delivery
No,No,3.700448817952718,0,others,Quick Bites,"North Indian, Chinese",300,Delivery
No,No,3.700448817952718,0,Jayanagar,Quick Bites,others,200,Delivery
Yes,No,3.4,9,others,Quick Bites,others,200,Delivery
No,No,3.700448817952718,0,others,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery
Yes,No,3.7,31,others,Quick Bites,"South Indian, North Indian",300,Delivery
Yes,No,2.9,177,Jayanagar,Casual Dining,others,700,Delivery
Yes,No,3.7,22,Basavanagudi,others,others,250,Delivery
Yes,No,3.5,10,others,others,others,100,Delivery
Yes,No,3.7,136,Banashankari,Quick Bites,others,600,Delivery
Yes,No,2.9,35,others,Quick Bites,"North Indian, Chinese",250,Delivery
Yes,No,4.1,185,Jayanagar,Quick Bites,others,200,Delivery
Yes,No,3.2,17,Jayanagar,Cafe,others,900,Delivery
Yes,No,3.8,155,others,Casual Dining,others,400,Delivery
Yes,No,3.8,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600,Delivery
Yes,No,3.8,160,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
Yes,No,3.8,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Delivery
Yes,No,3.5,90,Jayanagar,Casual Dining,others,500,Delivery
Yes,No,3.7,51,others,Quick Bites,others,350,Delivery
Yes,No,4.0,89,Jayanagar,Quick Bites,others,200,Delivery
Yes,No,3.6,18,Banashankari,Quick Bites,others,250,Delivery
Yes,No,3.9,40,Basavanagudi,Casual Dining,others,600,Delivery
Yes,No,2.5,35,Basavanagudi,Quick Bites,Fast Food,200,Delivery
Yes,No,3.4,89,Jayanagar,Quick Bites,others,250,Delivery
Yes,No,3.2,11,Basavanagudi,Quick Bites,others,150,Delivery
Yes,No,3.6,62,Banashankari,others,others,600,Delivery
Yes,No,3.9,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery
Yes,No,3.8,32,Jayanagar,others,others,250,Delivery
Yes,No,4.1,139,Jayanagar,Casual Dining,others,550,Delivery
Yes,No,3.2,154,others,Quick Bites,Fast Food,300,Delivery
Yes,No,3.6,14,Banashankari,Bakery,"Bakery, Desserts",350,Delivery
Yes,No,3.7,237,Banashankari,Quick Bites,others,200,Delivery
Yes,No,3.9,388,Banashankari,Casual Dining,others,650,Delivery
Yes,No,3.700448817952718,0,Jayanagar,Quick Bites,others,300,Delivery
Yes,No,3.9,128,others,Casual Dining,others,500,Delivery
Yes,Yes,4.1,1875,Jayanagar,Casual Dining,others,"1,200",Delivery
Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,Delivery
Yes,No,3.1,7,others,Quick Bites,others,250,Delivery
Yes,No,3.7,38,others,Casual Dining,"South Indian, North Indian",400,Delivery
Yes,No,4.2,179,Banashankari,Delivery,others,600,Delivery
Yes,No,4.0,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,Delivery
Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,3.7,323,Jayanagar,Casual Dining,others,850,Delivery
Yes,No,3.1,28,others,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery
Yes,No,3.9,18,Basavanagudi,Quick Bites,others,200,Delivery
Yes,No,3.3,6,Basavanagudi,Quick Bites,others,100,Delivery
Yes,No,3.700448817952718,0,Basavanagudi,Dessert Parlor,Beverages,100,Delivery
Yes,No,4.3,322,Jayanagar,Casual Dining,South Indian,400,Delivery
Yes,No,2.6,157,Jayanagar,Cafe,others,450,Delivery
Yes,No,3.9,543,Basavanagudi,Quick Bites,others,300,Delivery
Yes,No,3.7,180,Banashankari,Cafe,others,500,Delivery
Yes,No,4.2,444,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,3.9,134,Jayanagar,Quick Bites,others,400,Delivery
Yes,No,3.8,577,Jayanagar,Casual Dining,others,900,Delivery
Yes,No,4.2,60,Banashankari,Quick Bites,others,200,Delivery
Yes,No,3.9,144,Jayanagar,Casual Dining,others,550,Delivery
Yes,No,4.1,787,Banashankari,Casual Dining,others,800,Delivery
Yes,No,3.6,16,Basavanagudi,Quick Bites,South Indian,200,Delivery
Yes,No,3.6,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery
Yes,No,3.6,95,Banashankari,Quick Bites,others,150,Delivery
Yes,Yes,4.0,349,Banashankari,Casual Dining,others,"1,200",Delivery
Yes,No,3.7,248,others,Quick Bites,others,400,Delivery
Yes,No,4.1,216,Basavanagudi,Cafe,others,500,Delivery
Yes,No,3.700448817952718,0,others,Casual Dining,Biryani,400,Delivery
Yes,No,4.0,324,Banashankari,Cafe,others,700,Delivery
Yes,No,2.6,231,others,Quick Bites,others,400,Delivery
Yes,No,3.4,102,others,Casual Dining,others,400,Delivery
Yes,No,3.9,133,Banashankari,Cafe,others,800,Delivery
Yes,No,2.8,45,Banashankari,Casual Dining,others,800,Delivery
Yes,No,3.9,149,others,Quick Bites,others,300,Delivery
Yes,No,3.8,75,Banashankari,Quick Bites,others,200,Delivery
Yes,No,4.0,53,others,Delivery,others,600,Delivery
Yes,Yes,4.2,815,Jayanagar,Casual Dining,"North Indian, Chinese",900,Delivery
Yes,Yes,4.0,633,Banashankari,Casual Dining,"North Indian, Chinese",800,Delivery
Yes,No,3.5,56,Jayanagar,Dessert Parlor,others,400,Delivery
Yes,No,3.0,82,Banashankari,Quick Bites,others,300,Delivery
Yes,No,3.7,35,Jayanagar,Quick Bites,Fast Food,200,Delivery
Yes,No,3.6,20,Basavanagudi,Quick Bites,others,150,Delivery
Yes,No,3.1,14,others,Quick Bites,others,250,Delivery
Yes,No,3.9,70,Banashankari,Dessert Parlor,others,400,Delivery
Yes,No,3.9,91,Jayanagar,Cafe,others,300,Delivery
Yes,No,3.6,45,Jayanagar,Quick Bites,Biryani,200,Delivery
Yes,No,3.4,7,Banashankari,Quick Bites,"North Indian, Chinese",250,Delivery
Yes,No,3.8,28,Banashankari,Quick Bites,Fast Food,150,Delivery
Yes,No,3.6,24,Banashankari,Casual Dining,"North Indian, Chinese",600,Delivery
Yes,No,3.8,36,Basavanagudi,Dessert Parlor,others,200,Delivery
Yes,No,3.5,11,Jayanagar,Quick Bites,Fast Food,200,Delivery
Yes,No,3.8,77,others,Cafe,others,650,Delivery
Yes,No,3.2,8,Banashankari,others,"Mithai, Street Food",100,Delivery
Yes,No,3.7,14,Jayanagar,Quick Bites,South Indian,100,Delivery
Yes,No,3.8,210,others,Casual Dining,others,600,Delivery
Yes,No,4.1,130,Jayanagar,Cafe,others,650,Delivery
Yes,No,4.1,30,Jayanagar,others,others,100,Delivery
Yes,No,3.8,144,Banashankari,Cafe,others,700,Delivery
Yes,No,3.4,11,Basavanagudi,others,others,800,Delivery
Yes,No,3.7,133,Jayanagar,Casual Dining,others,700,Delivery
Yes,No,4.0,136,Jayanagar,Quick Bites,others,350,Delivery
Yes,No,3.1,4,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery
Yes,No,3.5,11,Basavanagudi,others,others,200,Delivery
Yes,No,3.8,74,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Yes,No,3.7,30,Basavanagudi,Quick Bites,others,300,Delivery
Yes,No,3.0,7,Basavanagudi,Quick Bites,others,200,Delivery
Yes,No,3.8,75,Banashankari,others,others,200,Delivery
Yes,No,3.7,54,Basavanagudi,Cafe,others,600,Delivery
Yes,No,3.6,23,Basavanagudi,others,others,100,Delivery
Yes,No,3.2,119,Banashankari,Casual Dining,"North Indian, Chinese",400,Delivery
Yes,No,3.7,73,Banashankari,Quick Bites,others,400,Delivery
Yes,No,3.4,58,Basavanagudi,Cafe,others,400,Delivery
Yes,No,3.6,129,Banashankari,Casual Dining,others,600,Delivery
Yes,No,3.6,24,Banashankari,Quick Bites,others,250,Delivery
Yes,No,3.0,175,others,Quick Bites,"Chinese, North Indian",400,Delivery
Yes,No,3.7,21,others,Quick Bites,South Indian,300,Delivery
Yes,No,3.5,41,others,others,others,400,Delivery
Yes,No,3.6,35,Jayanagar,Quick Bites,others,300,Delivery
Yes,No,4.1,176,Basavanagudi,Casual Dining,others,800,Delivery
Yes,No,3.5,45,Banashankari,others,others,300,Delivery
Yes,No,3.7,47,Jayanagar,others,others,400,Delivery
Yes,Yes,3.7,36,Jayanagar,Casual Dining,others,650,Delivery
Yes,No,3.8,52,others,others,others,400,Delivery
Yes,No,2.7,123,Banashankari,Quick Bites,Fast Food,200,Delivery
Yes,No,3.6,59,others,Casual Dining,North Indian,700,Delivery
Yes,No,3.2,4,others,Quick Bites,others,300,Delivery
Yes,No,3.8,101,Banashankari,Quick Bites,others,400,Delivery
Yes,No,3.7,54,Banashankari,others,others,400,Delivery
Yes,No,3.700448817952718,0,Banashankari,Quick Bites,South Indian,200,Delivery
Yes,No,3.6,22,Basavanagudi,Quick Bites,Fast Food,200,Delivery
Yes,No,3.1,31,Banashankari,others,others,250,Delivery
Yes,No,3.0,29,others,Cafe,others,500,Delivery
Yes,No,3.4,6,Jayanagar,others,Beverages,100,Delivery
Yes,No,3.0,22,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery
Yes,No,2.9,11,Banashankari,Quick Bites,North Indian,500,Delivery
Yes,No,3.9,101,Basavanagudi,Quick Bites,South Indian,150,Delivery
Yes,Yes,4.1,442,Jayanagar,others,others,"1,200",Delivery
Yes,No,3.5,155,Basavanagudi,Quick Bites,others,400,Delivery
Yes,No,3.4,12,Banashankari,others,others,150,Delivery
Yes,No,3.6,15,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,3.5,10,Basavanagudi,Quick Bites,South Indian,200,Delivery
Yes,No,3.8,25,Banashankari,Quick Bites,South Indian,300,Delivery
Yes,No,3.8,61,Banashankari,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,3.7,23,others,Quick Bites,others,300,Delivery
Yes,No,3.8,25,Basavanagudi,Quick Bites,others,350,Delivery
Yes,No,3.7,40,others,Quick Bites,others,200,Delivery
Yes,No,3.3,4,Basavanagudi,Quick Bites,others,100,Delivery
Yes,No,3.4,8,Basavanagudi,Quick Bites,others,150,Delivery
Yes,No,3.5,32,others,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,3.3,10,Basavanagudi,Quick Bites,South Indian,200,Delivery
Yes,No,3.4,6,Basavanagudi,Quick Bites,others,300,Delivery
Yes,No,3.8,53,Jayanagar,Quick Bites,others,250,Delivery
Yes,No,3.7,67,others,Casual Dining,North Indian,700,Delivery
Yes,No,2.9,23,Jayanagar,others,others,250,Delivery
