online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
No,No,4.2/5,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery
Yes,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery
Yes,No,3.8/5,58,Basavanagudi,Quick Bites,Chinese,150,Delivery
No,Yes,4.0/5,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery
No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery
Yes,No,4.1/5,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery
Yes,No,3.6/5,34,Jayanagar,Quick Bites,South Indian,100,Delivery
No,No,4.1/5,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery
No,No,3.8/5,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Yes,No,3.2/5,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery
Yes,No,3.6/5,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery
No,No,4.1/5,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery
No,No,NEW,0,Banashankari,Quick Bites,North Indian,150,Delivery
No,No,2.9/5,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery
No,No,3.6/5,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery
Yes,No,4.1/5,558,Basavanagudi,Quick Bites,South Indian,150,Delivery
Yes,No,3.6/5,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery
No,No,3.7/5,22,Banashankari,Quick Bites,Fast Food,500,Delivery
No,No,3.8/5,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery
Yes,No,3.8/5,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery
Yes,No,4.2/5,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery
No,No,3.5/5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery
No,No,3.8/5,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
No,No,,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery
No,No,4.0/5,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Yes,No,4.4/5,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery
No,No,3.5/5,31,Banashankari,Quick Bites,North Indian,200,Delivery
No,No,3.5/5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery
No,No,3.7/5,21,Banashankari,Quick Bites,Biryani,250,Delivery
No,No,,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery
No,No,,0,Banashankari,Mess,South Indian,200,Delivery
No,No,3.2/5,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery
No,No,2.6/5,283,Banashankari,Casual Dining,North Indian,600,Delivery
No,No,3.3/5,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery
No,No,3.8/5,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery
No,No,3.7/5,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery
No,No,3.7/5,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery
Yes,No,3.8/5,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
No,No,3.5/5,52,Banashankari,Quick Bites,South Indian,300,Delivery
No,No,3.7/5,130,Banashankari,Quick Bites,South Indian,200,Delivery
No,No,3.5/5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery
No,No,3.8 /5,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery
No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery
No,No,3.5/5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
No,No,3.4/5,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery
No,No,3.2/5,9,Banashankari,Quick Bites,Biryani,300,Delivery
No,No,3.2/5,4,Banashankari,Quick Bites,North Indian,300,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery
No,No,3.1/5,29,Banashankari,Quick Bites,North Indian,150,Delivery
No,No,3.4/5,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery
No,No,,0,Banashankari,Dessert Parlor,Mithai,150,Delivery
No,No,,0,Banashankari,Bakery,Bakery,300,Delivery
No,No,,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery
No,No,,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,Delivery
No,No,,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,Delivery
No,No,3.1/5,30,Banashankari,Bar,"Chinese, North Indian","1,000",Delivery
Yes,No,4.1/5,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
No,No,3.3/5,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery
No,No,3.1/5,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery
No,No,3.3/5,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery
No,No,2.9/5,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery
No,No,,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,Delivery
No,No,,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,Delivery
No,No,3.3/5,8,Banashankari,Delivery,South Indian,100,Delivery
No,No,,0,Banashankari,Quick Bites,"Rolls, North Indian",150,Delivery
No,No,,0,Banashankari,Quick Bites,South Indian,150,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,Delivery
No,No,NEW,0,Banashankari,Quick Bites,North Indian,100,Delivery
No,No,NEW,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery
No,No,,0,Banashankari,Beverage Shop,"Beverages, Juices",200,Delivery
No,No,,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,Delivery
No,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery
No,No,,0,Banashankari,Quick Bites,"South Indian, Chinese",150,Delivery
No,No,,0,Banashankari,Quick Bites,Andhra,250,Delivery
No,No,,0,Banashankari,Quick Bites,Biryani,250,Delivery
No,No,,0,Banashankari,Quick Bites,"South Indian, Biryani",150,Delivery
No,No,,0,Banashankari,Confectionery,Desserts,200,Delivery
No,No,,0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350,Delivery
No,No,,0,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery
No,No,NEW,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery
No,No,NEW,0,Banashankari,Quick Bites,"South Indian, Beverages",150,Delivery
Yes,No,4.0/5,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery
No,No,3.0/5,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery
Yes,No,3.9/5,47,Basavanagudi,Quick Bites,South Indian,200,Delivery
Yes,Yes,4.1/5,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery
Yes,No,3.8/5,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery
Yes,No,3.8/5,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery
Yes,No,3.8/5,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery
Yes,No,4.1/5,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery
Yes,No,3.8/5,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery
No,No,NEW,0,Banashankari,Quick Bites,Fast Food,100,Delivery
Yes,No,4.1/5,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
Yes,No,3.7/5,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery
Yes,No,3.9/5,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery
Yes,No,3.0/5,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery
Yes,No,3.7/5,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery
Yes,No,3.3/5,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery
Yes,No,3.3/5,12,Banashankari,Quick Bites,Biryani,300,Delivery
Yes,No,3.6/5,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery
Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery
Yes,No,4.6/5,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery
Yes,No,4.1/5,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery
Yes,Yes,4.1/5,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese","1,200",Delivery
Yes,No,3.7/5,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery
Yes,No,3.2/5,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery
Yes,No,4.0/5,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery
Yes,No,3.7/5,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery
Yes,No,3.5/5,57,Banashankari,Quick Bites,Biryani,200,Delivery
Yes,No,3.8/5,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery
Yes,No,3.8/5,15,Basavanagudi,Bakery,Bakery,400,Delivery
Yes,No,4.2/5,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery
Yes,No,3.6/5,66,Banashankari,Quick Bites,South Indian,150,Delivery
Yes,No,3.0/5,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery
Yes,No,4.1/5,233,Basavanagudi,Quick Bites,Street Food,200,Delivery
Yes,No,3.8/5,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery
Yes,No,3.1/5,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery
Yes,Yes,3.9/5,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery
Yes,No,4.5/5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery
Yes,No,4.1/5,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery
Yes,No,3.6/5,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery
Yes,No,3.5/5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery
Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery
Yes,No,3.9/5,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery
Yes,No,3.9/5,25,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,4.3/5,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery
Yes,No,3.8/5,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery
Yes,No,3.9/5,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery
Yes,No,4.2/5,287,Banashankari,Quick Bites,North Indian,350,Delivery
Yes,No,3.6/5,11,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,4.1/5,402,Banashankari,Cafe,Cafe,500,Delivery
Yes,No,3.8/5,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery
Yes,No,3.3/5,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery
Yes,No,3.9/5,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery
Yes,No,3.4/5,14,Banashankari,Quick Bites,South Indian,300,Delivery
Yes,No,3.9/5,264,Banashankari,Quick Bites,South Indian,200,Delivery
Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery
Yes,No,3.8/5,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery
Yes,No,3.8/5,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery
Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery
Yes,No,4.1/5,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery
Yes,No,4.2/5,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery
Yes,No,3.5/5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery
Yes,No,2.5/5,247,Banashankari,Casual Dining,North Indian,500,Delivery
Yes,Yes,4.1/5,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ","1,500",Delivery
Yes,No,4.1/5,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery
Yes,No,3.9/5,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery
Yes,No,3.6/5,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery
Yes,No,3.6/5,105,Banashankari,Casual Dining,Vietnamese,700,Delivery
Yes,No,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery
Yes,No,3.2/5,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery
Yes,No,3.1/5,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery
Yes,No,3.1/5,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery
Yes,No,,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,Yes,4.3/5,1129,Jayanagar,Casual Dining,"Italian, Salad","1,300",Delivery
Yes,No,3.9/5,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery
Yes,No,4.3/5,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery
Yes,No,3.8/5,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery
Yes,Yes,3.9/5,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian","1,000",Delivery
Yes,No,3.0/5,23,Jayanagar,Quick Bites,Andhra,400,Delivery
Yes,No,3.6/5,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery
Yes,Yes,2.8/5,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery
Yes,No,3.6/5,16,JP Nagar,Casual Dining,South Indian,400,Delivery
Yes,No,4.4/5,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,Delivery
Yes,No,3.8/5,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery
Yes,No,3.8/5,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery
Yes,No,3.6/5,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,Delivery
No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery
No,No,3.9/5,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,Delivery
No,No,,0,Basavanagudi,Bakery,"Bakery, Desserts",300,Delivery
No,No,,0,JP Nagar,Dessert Parlor,Ice Cream,200,Delivery
No,No,3.6/5,16,Mysore Road,Quick Bites,South Indian,300,Delivery
No,No,3.7/5,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery
No,No,3.6/5,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,Delivery
No,No,3.8/5,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,Delivery
No,No,3.4/5,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery
No,No,3.6/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Delivery
No,No,3.3/5,4,Jayanagar,Quick Bites,South Indian,250,Delivery
No,No,3.5/5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400,Delivery
No,No,,0,Basavanagudi,Quick Bites,South Indian,100,Delivery
No,No,,0,Uttarahalli,Quick Bites,"North Indian, Chinese",300,Delivery
No,No,,0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,Delivery
Yes,No,3.4/5,9,Uttarahalli,Quick Bites,Street Food,200,Delivery
No,No,,0,Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery
Yes,No,3.7/5,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,Delivery
Yes,No,2.9/5,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery
Yes,No,3.7/5,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,Delivery
Yes,No,3.5/5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100,Delivery
Yes,No,3.7/5,136,Banashankari,Quick Bites,"Salad, Fast Food",600,Delivery
Yes,No,2.9/5,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery
Yes,No,4.1/5,185,Jayanagar,Quick Bites,"Juices, Desserts",200,Delivery
Yes,No,3.2/5,17,Jayanagar,Cafe,"Cafe, Fast Food",900,Delivery
Yes,No,3.8/5,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery
Yes,No,3.8/5,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Yes,No,3.8/5,286,Basavanagudi,Casual Dining,North Indian,600,Delivery
Yes,No,3.8/5,160,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
Yes,No,3.8/5,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Delivery
Yes,No,3.5/5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery
Yes,No,3.7/5,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350,Delivery
Yes,No,4.0/5,89,Jayanagar,Quick Bites,"South Indian, Beverages",200,Delivery
Yes,No,3.6/5,18,Banashankari,Quick Bites,"Fast Food, Rolls",250,Delivery
Yes,No,3.9/5,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,Delivery
Yes,No,2.5/5,35,Basavanagudi,Quick Bites,Fast Food,200,Delivery
Yes,No,3.4/5,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,Delivery
Yes,No,3.2/5,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,Delivery
Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Delivery
Yes,No,3.9/5,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery
Yes,No,3.8/5,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250,Delivery
Yes,No,4.1/5,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery
Yes,No,3.2/5,154,Vijay Nagar,Quick Bites,Fast Food,300,Delivery
Yes,No,3.6/5,14,Banashankari,Bakery,"Bakery, Desserts",350,Delivery
Yes,No,3.7/5,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,Delivery
Yes,No,3.9/5,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,Delivery
Yes,No,NEW,0,Jayanagar,Quick Bites,"South Indian, Chinese",300,Delivery
Yes,No,3.9/5,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,Delivery
Yes,Yes,4.1/5,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai","1,200",Delivery
Yes,No,3.8/5,90,Banashankari,Cafe,Cafe,650,Delivery
Yes,No,3.1/5,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,Delivery
Yes,No,3.7/5,38,Uttarahalli,Casual Dining,"South Indian, North Indian",400,Delivery
Yes,No,4.2/5,179,Banashankari,Delivery,Pizza,600,Delivery
Yes,No,4.0/5,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,Delivery
Yes,No,4.3/5,275,Basavanagudi,Quick Bites,South Indian,100,Delivery
Yes,No,3.7/5,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,Delivery
Yes,No,3.1/5,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery
Yes,No,3.9/5,18,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200,Delivery
Yes,No,3.3/5,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",100,Delivery
Yes,No,,0,Basavanagudi,Dessert Parlor,Beverages,100,Delivery
Yes,No,4.3/5,322,Jayanagar,Casual Dining,South Indian,400,Delivery
Yes,No,2.6/5,157,Jayanagar,Cafe,"Cafe, American, Pizza",450,Delivery
Yes,No,3.9/5,543,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,Delivery
Yes,No,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Delivery
