_id,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_2,type
65931bfed4b9eb96be5f08d0,Yes,No,4.1/5,274,Kalyan Nagar,Cafe,"Cafe, Continental, North Indian",900,Cafes
65931bfed4b9eb96be5f5e70,Yes,No,3.6 /5,181,Jeevan Bhima Nagar,Quick Bites,"North Indian, Biryani, Mughlai, Rolls",350,Dine-out
65931bfed4b9eb96be5eb940,Yes,No,3.9/5,14,Jayanagar,Casual Dining,"North Indian, South Indian",600,Dine-out
65931bfed4b9eb96be5f47ea,No,No,3.4 /5,4,Malleshwaram,Sweet Shop,Mithai,150,Desserts
65931bfed4b9eb96be5f064b,Yes,No,3.6/5,519,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Dine-out
65931bfed4b9eb96be5f2aa0,Yes,No,3.6 /5,11,Koramangala 1st Block,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery
65931bfed4b9eb96be5eb38f,Yes,No,3.8/5,55,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out
65931bfed4b9eb96be5f3cba,No,No,3.6 /5,39,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
65931bfed4b9eb96be5f452d,No,Yes,4.1 /5,1339,Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental","2,100",Drinks & nightlife
65931bfed4b9eb96be5f31aa,Yes,No,3.5 /5,76,Koramangala 5th Block,Quick Bites,"Burger, Fast Food, Beverages",600,Dine-out
65931bfed4b9eb96be5f477a,Yes,No,3.5 /5,10,Yelahanka,Quick Bites,"South Indian, Biryani",300,Delivery
65931bfed4b9eb96be5efaf6,No,No,4.0/5,62,Jayanagar,Cafe,Cafe,150,Delivery
65931bfed4b9eb96be5f0a7d,Yes,No,3.9/5,77,Kalyan Nagar,Casual Dining,"Italian, Chinese, Continental",800,Delivery
65931bfed4b9eb96be5eca47,Yes,No,3.7/5,82,Brookefield,Quick Bites,"Fast Food, Sandwich, South Indian",150,Dine-out
65931bfed4b9eb96be5f347f,Yes,No,3.6 /5,7,BTM,"Takeaway, Delivery","Arabian, Middle Eastern",400,Delivery
65931bfed4b9eb96be5eb179,Yes,No,,0,BTM,"Takeaway, Delivery",Beverages,250,Delivery
65931bfed4b9eb96be5f6848,Yes,No,2.9 /5,75,Shanti Nagar,Casual Dining,North Indian,500,Dine-out
65931bfed4b9eb96be5f1909,No,No,,0,Domlur,Bakery,"Bakery, Fast Food",600,Delivery
65931bfed4b9eb96be5f11fb,Yes,No,3.8 /5,141,Kalyan Nagar,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650,Dine-out
65931bfed4b9eb96be5f6f89,Yes,Yes,4.4 /5,2110,Whitefield,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery
65931bfed4b9eb96be5ec534,No,No,3.6/5,10,Cunningham Road,Quick Bites,"South Indian, Chinese",200,Dine-out
65931bfed4b9eb96be5ef89f,Yes,No,3.6/5,21,Jayanagar,Quick Bites,"Fast Food, Burger",150,Delivery
65931bfed4b9eb96be5f0add,Yes,No,3.5/5,9,Kammanahalli,"Takeaway, Delivery","American, Burger, Momos, Bengali",400,Delivery
65931bfed4b9eb96be5f2335,No,No,3.6 /5,22,BTM,Cafe,"Cafe, Fast Food",500,Delivery
65931bfed4b9eb96be5ecad2,Yes,No,3.4/5,51,Marathahalli,Casual Dining,"North Indian, Biryani, Chinese",600,Dine-out
65931bfed4b9eb96be5f02d0,Yes,No,3.0/5,28,Kumaraswamy Layout,Cafe,"Cafe, Fast Food, Chinese",500,Delivery
65931bfed4b9eb96be5f0ad0,Yes,No,NEW,0,HBR Layout,Delivery,"North Indian, Continental",300,Delivery
65931bfed4b9eb96be5ec919,Yes,No,,0,Whitefield,Dessert Parlor,Ice Cream,150,Delivery
65931bfed4b9eb96be5f6fed,Yes,No,3.6 /5,30,Whitefield,Casual Dining,"North Indian, Chinese",400,Delivery
65931bfed4b9eb96be5eaec6,No,No,3.6/5,16,Mysore Road,Quick Bites,South Indian,300,Dine-out
65931bfed4b9eb96be5ebb74,Yes,No,3.4/5,9,Bellandur,Quick Bites,"Fast Food, Burger",200,Delivery
65931bfed4b9eb96be5efbbf,Yes,No,NEW,0,Koramangala 7th Block,Delivery,"North Indian, Continental",300,Delivery
65931bfed4b9eb96be5eae25,Yes,No,3.8/5,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Dine-out
65931bfed4b9eb96be5f613c,No,No,,0,Rajajinagar,"Beverage Shop, Dessert Parlor","Beverages, Desserts",300,Delivery
65931bfed4b9eb96be5ee2a6,No,Yes,4.0/5,54,Electronic City,Fine Dining,"Chinese, Vietnamese, Thai, Malaysian","2,200",Dine-out
65931bfed4b9eb96be5f2bcb,Yes,No,3.9 /5,44,Koramangala 6th Block,Quick Bites,"Coffee, Fast Food, Chinese, Beverages",550,Delivery
65931bfed4b9eb96be5f13f9,Yes,No,4.0/5,101,HSR,Quick Bites,"South Indian, North Indian, Street Food",250,Delivery
65931bfed4b9eb96be5f1288,No,No,,0,Banaswadi,Quick Bites,"South Indian, Chinese",200,Dine-out
65931bfed4b9eb96be5f174c,No,No,3.4/5,6,HSR,Quick Bites,"North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5ed49b,No,No,3.1/5,53,BTM,Casual Dining,"North Indian, Chinese, Kerala",600,Dine-out
65931bfed4b9eb96be5efac0,Yes,No,4.0/5,869,BTM,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab",500,Delivery
65931bfed4b9eb96be5f0b64,No,No,,0,Banaswadi,Beverage Shop,Drinks Only,100,Delivery
65931bfed4b9eb96be5f3723,Yes,No,3.7 /5,103,Koramangala 6th Block,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery
65931bfed4b9eb96be5f554f,No,No,3.0 /5,11,Church Street,Cafe,"Cafe, Fast Food",700,Dine-out
65931bfed4b9eb96be5f46c3,Yes,No,3.2 /5,7,New BEL Road,Quick Bites,"North Indian, Fast Food",400,Delivery
65931bfed4b9eb96be5f2b27,Yes,No,4.0 /5,131,BTM,Dessert Parlor,Ice Cream,230,Delivery
65931bfed4b9eb96be5ef5c7,Yes,No,3.9/5,647,Jeevan Bhima Nagar,Casual Dining,"Chinese, Thai, Momos",500,Dine-out
65931bfed4b9eb96be5f036c,Yes,No,2.6/5,22,Bannerghatta Road,"Bakery, Quick Bites","Bakery, Desserts",400,Delivery
65931bfed4b9eb96be5eb90a,No,Yes,4.3 /5,1278,Jayanagar,"Casual Dining, Bar","Pizza, Italian, Chinese, Thai","1,000",Dine-out
65931bfed4b9eb96be5ecf15,Yes,Yes,4.2/5,2192,JP Nagar,"Pub, Casual Dining","American, Chinese, Continental, North Indian","1,200",Delivery
65931bfed4b9eb96be5f49fc,No,No,,0,Marathahalli,"Bakery, Cafe","Bakery, Desserts, Cafe",600,Cafes
65931bfed4b9eb96be5f26da,No,No,3.6 /5,68,Koramangala 7th Block,Food Court,Kerala,550,Dine-out
65931bfed4b9eb96be5f31c2,Yes,No,3.4 /5,11,Koramangala 5th Block,Quick Bites,"Mangalorean, South Indian",300,Dine-out
65931bfed4b9eb96be5ec6bb,Yes,No,3.1/5,158,Brookefield,Quick Bites,"North Indian, Chinese, Biryani",450,Delivery
65931bfed4b9eb96be5f0224,Yes,No,3.9/5,34,JP Nagar,Casual Dining,"Mangalorean, Seafood, North Indian",750,Delivery
65931bfed4b9eb96be5f1eb6,Yes,No,4.3 /5,286,HSR,Quick Bites,South Indian,150,Delivery
65931bfed4b9eb96be5ec88c,Yes,No,3.6/5,34,Marathahalli,Casual Dining,"North Indian, Chinese, Andhra",800,Delivery
65931bfed4b9eb96be5eb93e,Yes,No,4.0/5,136,Jayanagar,Quick Bites,"South Indian, Fast Food",350,Dine-out
65931bfed4b9eb96be5ec340,No,No,4.3/5,606,St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food","1,300",Dine-out
65931bfed4b9eb96be5edf37,No,Yes,4.5/5,8382,Brigade Road,"Pub, Microbrewery","American, Continental, Salad","2,000",Drinks & nightlife
65931bfed4b9eb96be5f63fe,No,No,3.4 /5,10,Seshadripuram,Pub,Finger Food,900,Pubs and bars
65931bfed4b9eb96be5f1006,Yes,No,4.0/5,129,Kammanahalli,Quick Bites,"Arabian, Pizza, Greek, Lebanese, Mediterranean",600,Delivery
65931bfed4b9eb96be5f3558,Yes,No,4.2 /5,533,Koramangala 5th Block,Casual Dining,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600,Delivery
65931bfed4b9eb96be5ec677,Yes,No,3.2/5,30,Marathahalli,Casual Dining,"Biryani, Hyderabadi",650,Delivery
65931bfed4b9eb96be5f213c,Yes,No,3.5 /5,8,BTM,Dessert Parlor,"Desserts, Ice Cream",250,Delivery
65931bfed4b9eb96be5eb078,Yes,No,3.1/5,4,JP Nagar,"Takeaway, Delivery",Fast Food,300,Delivery
65931bfed4b9eb96be5f1122,No,No,4.1 /5,114,Kammanahalli,Casual Dining,European,"1,400",Dine-out
65931bfed4b9eb96be5ef469,No,Yes,4.2/5,6907,Indiranagar,"Microbrewery, Pub","North Indian, Continental, Chinese","1,400",Dine-out
65931bfed4b9eb96be5f3ad6,No,No,4.2 /5,2377,Koramangala 5th Block,Pub,"Finger Food, Continental, Asian, North Indian","1,400",Dine-out
65931bfed4b9eb96be5f0db5,No,No,NEW,0,Hennur,Quick Bites,"Biryani, Chinese, North Indian",400,Dine-out
65931bfed4b9eb96be5eb68d,Yes,No,3.9/5,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery
65931bfed4b9eb96be5edf65,No,Yes,4.0/5,195,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese","3,000",Drinks & nightlife
65931bfed4b9eb96be5ee51c,Yes,No,4.1/5,298,Indiranagar,Casual Dining,"Chinese, North Indian, Kerala, Mangalorean, Seafood",800,Delivery
65931bfed4b9eb96be5f2bc0,Yes,No,4.0 /5,76,Koramangala 3rd Block,Quick Bites,"South Indian, North Indian, Fast Food",300,Delivery
65931bfed4b9eb96be5eb875,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Dine-out
65931bfed4b9eb96be5f6870,No,No,3.7 /5,145,Richmond Road,"Casual Dining, Cafe","Chinese, North Indian, Cafe","1,000",Dine-out
65931bfed4b9eb96be5ee78a,Yes,No,3.9/5,73,Shivajinagar,"Dessert Parlor, Beverage Shop","Beverages, Desserts",150,Desserts
65931bfed4b9eb96be5eb53d,No,No,3.4/5,97,JP Nagar,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood","1,100",Drinks & nightlife
65931bfed4b9eb96be5edc52,No,No,3.9/5,49,Residency Road,Dessert Parlor,Bakery,600,Desserts
65931bfed4b9eb96be5eef6d,Yes,No,4.2/5,258,Sarjapur Road,Casual Dining,"North Indian, Street Food",700,Dine-out
65931bfed4b9eb96be5ecf60,No,No,3.5/5,17,BTM,Quick Bites,"North Indian, Chinese",200,Delivery
65931bfed4b9eb96be5efa3a,Yes,No,4.0/5,1782,Jayanagar,Quick Bites,"North Indian, South Indian, Fast Food, Juices",200,Delivery
65931bfed4b9eb96be5f0955,Yes,No,3.3/5,80,Hennur,Delivery,"Healthy Food, Beverages",600,Delivery
65931bfed4b9eb96be5f2905,No,Yes,4.1 /5,786,Koramangala 3rd Block,Casual Dining,"North Indian, Mughlai","1,500",Buffet
65931bfed4b9eb96be5ecd24,Yes,No,3.9/5,73,Bannerghatta Road,"Takeaway, Delivery","South Indian, Kerala",400,Delivery
65931bfed4b9eb96be5f0b4b,No,No,,0,Banaswadi,Quick Bites,"North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5ed985,Yes,No,3.3/5,70,Residency Road,Quick Bites,Biryani,400,Delivery
65931bfed4b9eb96be5f0a5c,No,No,3.3/5,4,Kalyan Nagar,Quick Bites,"Fast Food, BBQ, Rolls, Arabian, North Indian",400,Delivery
65931bfed4b9eb96be5eb2ed,No,No,,0,Bannerghatta Road,Dessert Parlor,Ice Cream,200,Desserts
65931bfed4b9eb96be5eb004,Yes,No,4.0/5,166,Bannerghatta Road,Delivery,Pizza,750,Delivery
65931bfed4b9eb96be5f1dfe,No,Yes,4.2 /5,117,Koramangala 7th Block,Casual Dining,"North Indian, South Indian, Chinese, Arabian",800,Buffet
65931bfed4b9eb96be5f3c93,Yes,No,3.7 /5,42,BTM,Quick Bites,"Fast Food, North Indian",400,Dine-out
65931bfed4b9eb96be5f0be3,No,No,,0,Hennur,"Takeaway, Delivery","Bakery, Desserts",300,Desserts
65931bfed4b9eb96be5f59a7,No,No,3.5 /5,18,New BEL Road,Quick Bites,"North Indian, Street Food",200,Dine-out
65931bfed4b9eb96be5edee3,Yes,No,3.2/5,9,Vasanth Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food, North Indian",300,Dine-out
65931bfed4b9eb96be5ebead,No,No,3.3/5,17,Sarjapur Road,Quick Bites,American,500,Dine-out
65931bfed4b9eb96be5f2b11,Yes,No,NEW,0,Jayanagar,Quick Bites,"Fast Food, Rolls",300,Delivery
65931bfed4b9eb96be5eae10,Yes,No,3.9/5,264,Banashankari,Quick Bites,South Indian,200,Dine-out
65931bfed4b9eb96be5f721d,No,No,3.7 /5,21,Whitefield,Quick Bites,South Indian,200,Delivery
65931bfed4b9eb96be5f6b2e,Yes,No,3.5 /5,43,Sarjapur Road,Delivery,Continental,500,Delivery
65931bfed4b9eb96be5f63ff,No,No,3.6 /5,27,Seshadripuram,Bar,"Finger Food, North Indian, Chinese","1,000",Pubs and bars
65931bfed4b9eb96be5f20c3,Yes,No,3.4 /5,84,BTM,Quick Bites,"North Indian, Fast Food, Kebab, Rolls, Beverages",300,Delivery
65931bfed4b9eb96be5ec7cf,No,No,3.4/5,8,Whitefield,"Takeaway, Delivery","North Indian, Continental",300,Delivery
65931bfed4b9eb96be5ec031,Yes,No,4.3/5,652,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",750,Delivery
65931bfed4b9eb96be5f5d68,Yes,No,3.5 /5,124,Jeevan Bhima Nagar,"Takeaway, Delivery","Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",500,Desserts
65931bfed4b9eb96be5eb3eb,No,No,,0,Bannerghatta Road,Food Court,"Seafood, Mangalorean, Kerala",600,Dine-out
65931bfed4b9eb96be5ec91b,Yes,No,3.5/5,12,Marathahalli,Quick Bites,"Beverages, Sandwich",150,Delivery
65931bfed4b9eb96be5ef1a5,Yes,Yes,NEW,0,Indiranagar,Casual Dining,"Continental, Italian, North Indian, Chinese","1,000",Delivery
65931bfed4b9eb96be5f50ca,Yes,No,4.5 /5,873,Indiranagar,Delivery,"Healthy Food, North Indian, Biryani, Continental, Desserts",500,Delivery
65931bfed4b9eb96be5ee937,Yes,Yes,4.2/5,1873,HSR,"Lounge, Casual Dining","Finger Food, Continental, North Indian","1,500",Buffet
65931bfed4b9eb96be5efac4,Yes,No,3.4/5,8,Shanti Nagar,Quick Bites,South Indian,150,Delivery
65931bfed4b9eb96be5f0b7e,Yes,No,3.9/5,248,Kalyan Nagar,Bar,"Finger Food, Italian, Continental","1,200",Delivery
65931bfed4b9eb96be5f5064,No,No,3.1 /5,122,Lavelle Road,"Casual Dining, Bar","North Indian, Continental, Chinese","1,200",Buffet
65931bfed4b9eb96be5eaec9,No,No,3.3/5,6,Basavanagudi,Casual Dining,"South Indian, North Indian, Chinese",450,Dine-out
65931bfed4b9eb96be5efe18,Yes,No,,283,Jayanagar,Casual Dining,"Biryani, North Indian, Andhra",800,Dine-out
65931bfed4b9eb96be5f0ff0,No,No,,0,Nagawara,"Takeaway, Delivery",Bakery,300,Delivery
65931bfed4b9eb96be5ed80a,No,No,2.9/5,14,Koramangala 5th Block,Quick Bites,"Continental, Italian, Fast Food",400,Dine-out
65931bfed4b9eb96be5f3fc8,No,Yes,4.4 /5,2052,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","1,200",Delivery
65931bfed4b9eb96be5f0f35,No,No,4.1/5,109,Kammanahalli,Casual Dining,"Chinese, Momos",450,Delivery
65931bfed4b9eb96be5ec704,Yes,No,3.8/5,36,"ITPL Main Road, Whitefield","Takeaway, Delivery","North Indian, Gujarati",300,Delivery
65931bfed4b9eb96be5ebac0,Yes,No,3.8/5,281,HSR,Quick Bites,"Biryani, South Indian",350,Delivery
65931bfed4b9eb96be5eddc3,No,No,,0,Richmond Road,Quick Bites,"South Indian, Biryani",350,Dine-out
65931bfed4b9eb96be5efa20,Yes,No,3.5/5,29,Koramangala 7th Block,Bakery,"Desserts, Bakery",400,Delivery
65931bfed4b9eb96be5f5d3f,Yes,No,3.1 /5,45,Indiranagar,Delivery,Pizza,450,Delivery
65931bfed4b9eb96be5f0d42,Yes,No,3.5/5,10,Banaswadi,Quick Bites,Biryani,300,Dine-out
65931bfed4b9eb96be5f2702,No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,400,Dine-out
65931bfed4b9eb96be5edd7f,Yes,Yes,3.8/5,198,MG Road,Casual Dining,"Italian, European","1,600",Dine-out
65931bfed4b9eb96be5f3503,Yes,No,3.5 /5,13,BTM,Takeaway,Juices,100,Delivery
65931bfed4b9eb96be5f4f2c,Yes,No,3.4 /5,14,Marathahalli,Quick Bites,Street Food,250,Dine-out
65931bfed4b9eb96be5f5acd,Yes,No,3.3 /5,38,Koramangala 1st Block,Delivery,North Indian,400,Delivery
65931bfed4b9eb96be5f60a3,Yes,No,2.3 /5,180,Rajajinagar,Casual Dining,"North Indian, Chinese, South Indian, Street Food",500,Delivery
65931bfed4b9eb96be5f2c49,Yes,No,NEW,0,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Rolls",450,Delivery
65931bfed4b9eb96be5efd31,No,No,,0,Jayanagar,Bakery,"Bakery, Fast Food",500,Desserts
65931bfed4b9eb96be5ef97e,Yes,No,3.5/5,11,Basavanagudi,"Sweet Shop, Quick Bites","Mithai, South Indian, Street Food, Fast Food",200,Delivery
65931bfed4b9eb96be5f6212,No,No,3.5 /5,12,Malleshwaram,Dessert Parlor,Desserts,150,Desserts
65931bfed4b9eb96be5eecd0,Yes,No,2.8/5,5,HSR,Quick Bites,"Juices, Beverages, Salad",200,Delivery
65931bfed4b9eb96be5eb6b4,Yes,No,3.7/5,50,Shanti Nagar,Cafe,"Cafe, Fast Food, Pizza, Burger",550,Delivery
65931bfed4b9eb96be5f6996,No,No,3.1 /5,46,Cunningham Road,Casual Dining,"Asian, Continental","1,000",Dine-out
65931bfed4b9eb96be5ee409,No,No,,0,Electronic City,Quick Bites,"Fast Food, Desserts, Beverages",300,Dine-out
65931bfed4b9eb96be5ef6fb,No,No,4.0/5,108,Domlur,Bar,"Seafood, Mexican, Continental, Finger Food","1,300",Drinks & nightlife
65931bfed4b9eb96be5f3232,Yes,No,4.0 /5,115,BTM,Quick Bites,"Chinese, North Indian, South Indian",400,Dine-out
65931bfed4b9eb96be5eb789,No,No,3.0/5,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery
65931bfed4b9eb96be5f53e3,No,No,3.7 /5,23,Lavelle Road,Bakery,Bakery,250,Desserts
65931bfed4b9eb96be5ee4da,Yes,No,3.3/5,111,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5ede0f,No,No,3.6/5,37,Shivajinagar,Quick Bites,"South Indian, Street Food, Beverages, Desserts",250,Dine-out
65931bfed4b9eb96be5ebbd3,Yes,No,NEW,0,HSR,Casual Dining,"North Indian, Chinese, Continental",750,Delivery
65931bfed4b9eb96be5f61c9,No,No,3.3 /5,4,Rajajinagar,"Bakery, Dessert Parlor","Bakery, Fast Food",500,Desserts
65931bfed4b9eb96be5ed12a,No,No,NEW,0,BTM,Quick Bites,Biryani,300,Delivery
65931bfed4b9eb96be5efe77,No,No,3.7 /5,56,Jayanagar,Quick Bites,South Indian,150,Dine-out
65931bfed4b9eb96be5eef0d,No,No,,0,HSR,Quick Bites,South Indian,150,Dine-out
65931bfed4b9eb96be5eac90,Yes,No,3.8/5,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery
65931bfed4b9eb96be5edd3b,No,No,4.0/5,224,Residency Road,Casual Dining,"North Indian, South Indian, Chinese, Juices",700,Dine-out
65931bfed4b9eb96be5f2d0c,No,No,3.8 /5,65,Koramangala 6th Block,Quick Bites,Continental,550,Delivery
65931bfed4b9eb96be5f5990,No,No,3.6 /5,26,New BEL Road,Quick Bites,"Andhra, North Indian, Chinese",300,Dine-out
65931bfed4b9eb96be5ee3ac,Yes,No,3.3/5,5,Electronic City,Quick Bites,"Mughlai, Chinese, North Indian",400,Dine-out
65931bfed4b9eb96be5efb46,No,No,,0,Jayanagar,Bakery,"Bakery, Desserts",400,Delivery
65931bfed4b9eb96be5f5902,No,No,2.7 /5,19,New BEL Road,Bakery,"Bakery, Fast Food",500,Desserts
65931bfed4b9eb96be5eeaba,No,No,,0,HSR,Delivery,"North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5f1aed,Yes,No,3.9 /5,375,Koramangala 1st Block,Casual Dining,Biryani,750,Dine-out
65931bfed4b9eb96be5ee6ec,Yes,No,3.5/5,13,Frazer Town,Delivery,"Burger, Desserts",300,Delivery
65931bfed4b9eb96be5ef87e,Yes,No,3.9/5,102,Bannerghatta Road,Dessert Parlor,"Ice Cream, Desserts",400,Delivery
65931bfed4b9eb96be5f0649,Yes,Yes,4.4/5,4410,JP Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Dine-out
65931bfed4b9eb96be5eb005,Yes,No,4.1/5,46,JP Nagar,Cafe,"Cafe, Sandwich, Burger",600,Delivery
65931bfed4b9eb96be5f0d11,No,No,,0,HBR Layout,Quick Bites,Fast Food,300,Dine-out
65931bfed4b9eb96be5eaba8,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes
65931bfed4b9eb96be5eb3ad,Yes,No,3.3/5,4,Bannerghatta Road,Quick Bites,"South Indian, Kerala, Biryani",400,Dine-out
65931bfed4b9eb96be5f4aca,Yes,No,NEW,0,Marathahalli,"Takeaway, Delivery",North Indian,500,Delivery
65931bfed4b9eb96be5f71da,No,No,,0,Whitefield,Delivery,"North Indian, South Indian, Chinese",200,Delivery
65931bfed4b9eb96be5f1492,Yes,No,3.8/5,62,BTM,Quick Bites,"Fast Food, Juices",300,Delivery
65931bfed4b9eb96be5eff1c,No,No,3.5 /5,73,Banashankari,Quick Bites,"Fast Food, Beverages",500,Dine-out
65931bfed4b9eb96be5f4824,No,No,,0,Rajajinagar,"Beverage Shop, Dessert Parlor","Beverages, Desserts",300,Desserts
65931bfed4b9eb96be5f1330,Yes,No,3.3/5,292,HSR,Casual Dining,"Bengali, Seafood",600,Buffet
65931bfed4b9eb96be5ebd11,Yes,No,2.9/5,163,Bellandur,"Quick Bites, Sweet Shop","North Indian, Street Food, Mithai",250,Desserts
65931bfed4b9eb96be5ee0b6,Yes,No,3.3/5,5,Electronic City,Quick Bites,"Mughlai, Chinese, North Indian",400,Delivery
65931bfed4b9eb96be5f4a64,Yes,No,3.3 /5,71,Marathahalli,"Beverage Shop, Quick Bites","Beverages, Sandwich",250,Delivery
65931bfed4b9eb96be5f2dd4,No,No,4.3 /5,450,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,Delivery
65931bfed4b9eb96be5f2e62,No,No,3.6 /5,34,BTM,Quick Bites,"Italian, Pizza",650,Delivery
65931bfed4b9eb96be5f0bc1,Yes,No,3.7/5,18,Kammanahalli,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Desserts
65931bfed4b9eb96be5ece03,Yes,No,3.7/5,42,JP Nagar,Quick Bites,"North Indian, Chinese",500,Delivery
65931bfed4b9eb96be5f1d6f,No,No,NEW,0,BTM,Quick Bites,Biryani,300,Dine-out
65931bfed4b9eb96be5eace8,Yes,No,3.7/5,30,Basavanagudi,Quick Bites,"South Indian, North Indian, Desserts",300,Delivery
65931bfed4b9eb96be5ec3a7,Yes,Yes,4.3/5,1048,Lavelle Road,Casual Dining,"Italian, Continental, Pizza","1,600",Dine-out
65931bfed4b9eb96be5f5b57,Yes,No,4.2 /5,232,Indiranagar,Casual Dining,Thai,"1,500",Delivery
65931bfed4b9eb96be5f2a58,Yes,No,3.9 /5,179,Koramangala 6th Block,Delivery,"Fast Food, Burger, Sandwich, Pizza",300,Delivery
